Test,Read MB/s,Write MB/s,Read IOPS,Write IOPS,Path,Timestamp,Profile
randread-8k,242MiB/s,0,30.9k,-,/Users/alex/repos/fio-test-script,2025-04-30_18-06-54,vm
randwrite-8k,0,88.4MiB/s,-,11.3k,/Users/alex/repos/fio-test-script,2025-04-30_18-06-54,vm
randrw-16k,237MiB/s,101MiB/s,15.2k,6490,/Users/alex/repos/fio-test-script,2025-04-30_18-06-54,vm
seqread-1M,4031MiB/s,0,4031,-,/Users/alex/repos/fio-test-script,2025-04-30_18-06-54,vm
